,region,Value
0,Abia,4.0
1,Ebonyi,2.4
2,Benue,22.9
3,Rivers,6.1
4,Oyo,12.5
5,Kwara,3.6
6,Ogun,5.8
7,Anambra,6.3
8,Ondo,3.7
9,Delta,10.1
10,Kaduna,27.0
11,Zamfara,83.3
12,Jigawa,74.6
13,Kogi,9.1
14,Akwa Ibom,10.9
15,Gombe,63.3
16,Cross River,5.4
17,Kebbi,61.3
18,Adamawa,31.8
19,Sokoto,76.5
20,Enugu,4.1
21,Osun,3.8
22,Niger,45.0
23,Imo,2.7
24,Abuja,14.3
25,Yobe,65.4
26,Plateau,7.4
27,Lagos,3.0
28,Nassarawa,19.4
29,Ekiti,0.0
30,Bauchi,61.3
31,Taraba,42.4
32,Bayelsa,30.5
33,Edo,5.0
34,Katsina,72.6
35,Borno,64.0
36,Kano,69.7
